srv_t,srv_c,conns,wrk_t,run,rps,p50_us,p90_us,p99_us,max_us,errors,non2xx
1,20,1,1,1,13996.05,35.00,38.00,67.00,198.00,0,0
1,20,1,1,2,14064.60,36.00,37.00,65.00,255.00,0,0
1,20,1,1,3,13853.99,36.00,39.00,70.00,990.00,0,0
1,20,10,8,1,23070.02,300.00,358.00,413.00,1230.00,0,0
1,20,10,8,2,16264.69,437.00,494.00,576.00,4110.00,0,0
1,20,10,8,3,16309.25,440.00,493.00,548.00,1990.00,0,0
1,20,50,8,1,57212.46,626.00,702.00,769.00,1430.00,0,577821
1,20,50,8,2,58980.61,454.00,540.00,621.00,76190.00,0,595652
1,20,50,8,3,0.00,0.00,0.00,0.00,0.00,2184193,0
1,100,1,1,1,13090.88,36.00,50.00,83.00,366.00,0,0
1,100,1,1,2,12582.66,36.00,55.00,113.00,3290.00,0,0
1,100,1,1,3,12829.19,36.00,51.00,97.00,2690.00,0,0
1,100,10,8,1,14546.88,476.00,607.00,829.00,4250.00,0,0
1,100,10,8,2,15122.33,469.00,560.00,764.00,3400.00,0,0
1,100,10,8,3,15419.38,461.00,539.00,771.00,6600.00,0,0
1,100,50,8,1,16569.96,2620.00,3520.00,5250.00,14990.00,868,0
